,id,name,image,rating,link,description
0,0,Solang Valley,https://www.holidify.com/images/cmsuploads/square/shutterstock_633164246_20190904103856_20190904103926.jpg,4.6,https://www.holidify.com/places/manali/solang-valley-sightseeing-2766.html," A valley between the Beas Kund and the Solang village tends to be a favorite for all its visitors as well as the locals. Also known as the Snow point, the Solang valley is famous not only for the glaciers and snow-clad landscapes but also for the countless activities that one can enjoy here. "
1,0,Rohtang Pass,https://www.holidify.com/images/cmsuploads/square/490_20190308180742.jpg,4.4,https://www.holidify.com/places/manali/rohtang-pass-sightseeing-2765.html," Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert like landscapes, Spiti and Lahaul, and is one itself. This vast snow desert is a landscape like only a few other and a view one should not miss, while here. "
2,0,Adventure Activities in Manali,https://www.holidify.com/images/attr_square/2751.jpg,3.7,https://www.holidify.com/places/manali/adventure-activities-sightseeing-2751.html," Manali is the hub of adventure activities in Himachal Pradesh. From white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, Manali has everything to offer. "
3,0,Beas Kund Trek,https://www.holidify.com/images/cmsuploads/square/6103594064_86a392d5b5_b_20180813140617.jpg,4.4,https://www.holidify.com/places/manali/beas-kund-sightseeing-2752.html," The Beas Kund trek is a perfect weekend getaway trek with outstanding views of Pir Pinjal mountain ranges over the Beas river. let your soul get wooed by the spectacular meadows of Dhundi and Bakarthach and finally, the glacial lake at Beas Kund which is worth all the hiking. "
4,0,Paragliding in Manali,https://www.holidify.com/images/cmsuploads/square/183128172_80e060c6cf_z_20190718114549.jpg,4.0,https://www.holidify.com/places/manali/paragliding-in-manali-sightseeing-8200.html," The hillside town of Manali is famous for paragliding. At 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks. The picture-perfect valley boasts of ideal wind conditions for paragliding and is thronged by both international and domestic tourists. Starting with a basic training course, the operators are well organized, competent and trustworthy. 
 "
5,0,Hadimba Temple,https://www.holidify.com/images/cmsuploads/square/attr_1888_20190308172811.jpg,4.4,https://www.holidify.com/places/manali/hadimba-temple-sightseeing-2756.html," Hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances. "
6,0,Skiing in Manali,https://www.holidify.com/images/cmsuploads/square/attr_8213_20190326101857.jpg,4.0,https://www.holidify.com/places/manali/skiing-in-manali-sightseeing-8213.html," A major tourist spot of North India, Manali is known for its excellent skiing conditions with skiing enthusiasts visiting from all over the country. The undulating slopes of Solang Valley and Rohtang Pass offer a perfect terrain for amateurs to learn their first move while an ideal grounds for professional skiing in Manali. So, if you are an adventure lover, leave yourself in the hands of your professional trainers to feel the thrill of skiing in the picturesque setting of Manali. "
7,0,Vashisht Baths,https://www.holidify.com/images/cmsuploads/square/497_20190325225438.jpg,3.7,https://www.holidify.com/places/manali/vashisht-baths-sightseeing-2769.html," While most temples will leave you spiritually rejuvenated, there are a few where you can take a dip into hot water springs and baths, which leave you refreshed and maybe even healthier. "
8,0,Chandratal Baralacha Trek,https://www.holidify.com/images/cmsuploads/square/attr_8211_20190326153449.jpg,3.5,https://www.holidify.com/places/manali/chandratal-baralacha-trek-sightseeing-8211.html," Chandratal Baralacha is a perfect trek destination steeped with all the right elements - nature's beauty and enough challenges to be thrilling and tranquillity. Perched at an altitude of 4,300 meters, Chandratal is one of the high altitude lakes in the Himalayan region. Located on the Samudra Plateau of Spiti Valley, the most delightful sight of sunset gleaming upon the turquoise waters of the lake, pristine landscape, mountain passes, several gushing streams, verdant meadows, the gush of colourful orchards and exotic wildlife make Chandratal Baralacha Trek an unforgotten experience to cherish forever. "
9,0,The Great Himalayan National Park,https://www.holidify.com/images/attr_square/2767.jpg,3.4,https://www.holidify.com/places/kullu/the-great-himalayan-national-park-sightseeing-2508.html," The newest addition to the list of National parks in India, The Great Himalayan National Park is quickly becoming what the wildlife scene in the region is being identified with and defined by. "
10,0,Manikaran,https://www.holidify.com/images/attr_square/2760.jpg,3.4,https://www.holidify.com/places/manikaran-sahib/," Manikaran is a small town situated between rivers Parvati and Beas, famous for its hot water springs and beautiful landscapes. The town has a famous Gurudwara called Manikaran Sahib and it is frequented by Sikhs from all over the country. "
11,0,Hampta Pass Trek,https://www.holidify.com/images/cmsuploads/square/attr_wiki_3779_20180905111222.jpg,3.5,https://www.holidify.com/places/manali/hampta-pass-sightseeing-8183.html," Hampta Pass, situated in the Manali region of the Himachal Pradesh, serves as one of the most convenient and enjoyable treks. Laden with pristine form of nature, the trail comprises of dense pine forests, pristine glacial valleys, vast meadows and panoramic landscape. "
12,0,Kullu,https://www.holidify.com/images/attr_square/2757.jpg,3.4,https://www.holidify.com/places/kullu/," This sister town to Manali too, is a hill station of dreamy landscapes and sceneries, a hub of adventure activities as well as home to a number of sacred temples and shrines. "
13,0,Chandrakhani Pass and the Parvati Valley,https://www.holidify.com/images/attr_square/2754.jpg,3.4,https://www.holidify.com/places/kullu/chandrakhani-pass-sightseeing-2496.html," This modest bit of paradise, with its share of snow and clouds is an ideal stretch for trekking and views to lose oneself in. At a flattering height of 3600 meters, nestled in the Parvati Valley, the Chandrakhani pass is a favorite for those who seek natural beauty as well as those in search of adventure with mountains and valleys in the backdrop. "
14,0,Manu Temple,https://www.holidify.com/images/cmsuploads/square/manu_20180226162059.jpg,3.4,https://www.holidify.com/places/manali/manu-temple-sightseeing-2761.html," Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture. "
15,0,Old Manali,https://www.holidify.com/images/cmsuploads/square/4708_20190501151400.jpg,3.9,https://www.holidify.com/places/manali/old-manali-sightseeing-2764.html," On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must experience while here. "
16,0,Nehru Kund,https://www.holidify.com/images/cmsuploads/square/4707_20190325224620.jpg,3.4,https://www.holidify.com/places/manali/nehru-kund-sightseeing-2763.html," Nehru Kund gets its name from the first Prime minister of India, Jawaharlal Nehru who is said to have had water from the natural spring, when he used to stay in Manali. One still finds here some cold and pristine water running here and a breath-taking scenery of mountains and valleys all around. "
17,0,"Van Vihar, Manali",https://www.holidify.com/images/cmsuploads/square/4710_20190406143426.jpg,3.4,https://www.holidify.com/places/manali/van-vihar-sightseeing-2768.html, Van Vihar is a simple favorite of both tourists as well as locals. This is a municipal garden located on the Mall Road and has a pond for boating surrounded by tall deodar trees watching over. 
18,0,Manali Sanctuary,https://www.holidify.com/images/cmsuploads/square/attr_2252_20190308173442.jpg,3.9,https://www.holidify.com/places/manali/manali-sanctuary-sightseeing-2759.html," Manali Sanctuary is home to Mona- the state bird of Himachal Pradesh and a number of other rare and local species. Find here Brown Bear, Musk Dear and maybe even a Snow leopard. "
19,0,Bara Bhangal Trek,https://www.holidify.com/images/cmsuploads/square/attr_8236_20190429164004.jpg,3.5,https://www.holidify.com/places/manali/bara-bhangal-trek-sightseeing-8236.html," Bara Bangal Trek, also known as the Shepherds trail trek, takes you from the lush green Kullu valley to the stark landscapes of Bara Bhangal range.  "
20,0,Naggar,https://www.holidify.com/images/attr_square/2762.jpg,3.4,https://www.holidify.com/places/naggar/," Naggar is an unexplored and modest town in the Kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the River Beas flowing in much proximity. "
21,0,Malana,https://www.holidify.com/images/attr_square/2758.jpg,3.4,https://www.holidify.com/places/kullu/malana-sightseeing-2501.html," This village in Kullu, is a bit of shift in the world as we know it. There are around 200-300 stone roof houses sheltering 1500 people in this settlement which is one of its kind. "
